,grouping_time,mip_time,optimality_gap,optimal_height,grouping_height
80,2.6856529712677,51.00711393356323,0.0,34,34
81,1.6066579818725586,7.2511680126190186,2.7777777777777777,36,37
82,1.9517607688903809,16.49916696548462,0.0,32,32
83,1.0135579109191895,3.1867990493774414,0.0,28,28
84,0.8807108402252197,3.0145158767700195,0.0,33,33
85,0.5905458927154541,2.071254014968872,0.0,41,41
86,2.2550599575042725,7.826545238494873,0.0,24,24
87,0.5524458885192871,2.877127170562744,0.0,33,33
88,0.5963170528411865,3.7971558570861816,0.0,24,24
89,5.530594110488892,6.350672006607056,4.761904761904762,21,22
90,0.5628259181976318,35.87800121307373,0.0,27,27
91,0.6912620067596436,2.9404170513153076,0.0,41,41
92,0.7778968811035156,6.968103885650635,5.714285714285714,35,37
93,2.1267077922821045,3.516343116760254,0.0,23,23
94,530.9441900253296,528.3511559963226,0.0,27,27
95,0.8540129661560059,5.810041189193726,0.0,34,34
96,1.0890228748321533,4.5510101318359375,0.0,28,28
97,1.05293607711792,40.935372829437256,0.0,24,24
98,2.141439914703369,6.9599080085754395,0.0,27,27
99,0.6429920196533203,6.604842901229858,9.090909090909092,33,36
